RCDTS,Type,School_Name,District,School_Type,PERC_ELA_Proficiency,NR_ELA_Proficiency,PERC_Math_Proficiency,NR_Math_Proficiency
030680220262003,School,North Elem School,Nokomis CUSD 22,ELEMENTARY,47.6,68.0,49.0,70.0
040041000262003,School,Caledonia Elem School,Belvidere CUSD 100,ELEMENTARY,34.6,63.0,23.1,42.0
040041000262005,School,Lincoln Elem School,Belvidere CUSD 100,ELEMENTARY,17.9,49.0,18.2,50.0
040041000262007,School,Perry Elem School,Belvidere CUSD 100,ELEMENTARY,24.4,38.0,16.0,25.0
040041000262008,School,Washington Academy,Belvidere CUSD 100,ELEMENTARY,20.0,84.0,12.8,54.0
040041000262009,School,Meehan Elementary School,Belvidere CUSD 100,ELEMENTARY,17.3,57.0,16.4,54.0
040041000262010,School,Seth Whitman Elem Sch,Belvidere CUSD 100,ELEMENTARY,36.5,133.0,24.5,89.0
040042000262001,School,Capron Elem School,North Boone CUSD 200,ELEMENTARY,26.8,15.0,19.6,11.0
040042000262002,School,Manchester Elem School,North Boone CUSD 200,ELEMENTARY,31.9,23.0,28.2,20.0
040042000262004,School,Poplar Grove Elem School,North Boone CUSD 200,ELEMENTARY,45.6,57.0,43.2,54.0
040042000262005,School,North Boone Upper Elem Sch,North Boone CUSD 200,ELEMENTARY,34.9,87.0,12.5,31.0
041011220222005,School,Loves Park Elem School,Harlem UD 122,ELEMENTARY,25.2,57.0,18.2,41.0
041011220222006,School,Maple Elem School,Harlem UD 122,ELEMENTARY,19.3,38.0,11.1,22.0
041011220222007,School,Marquette Elem School,Harlem UD 122,ELEMENTARY,28.9,28.0,31.3,30.0
041011220222008,School,Rock Cut Elem School,Harlem UD 122,ELEMENTARY,19.4,55.0,17.7,50.0
041011220222010,School,Ralston Elem School,Harlem UD 122,ELEMENTARY,36.3,89.0,36.6,89.0
041011220222011,School,Windsor Elem School,Harlem UD 122,ELEMENTARY,21.3,58.0,20.1,55.0
041011220222013,School,Machesney Elem School,Harlem UD 122,ELEMENTARY,36.1,136.0,27.6,104.0
041011220222014,School,Olson Park Elem School,Harlem UD 122,ELEMENTARY,51.8,102.0,39.3,77.0
041011220222015,School,Donald C Parker Early Educ Center,Harlem UD 122,ELEMENTARY,,,,
041011310042001,School,Kinnikinnick School,Kinnikinnick CCSD 131,ELEMENTARY,56.2,209.0,52.4,195.0
041011310042002,School,Ledgewood Elem School,Kinnikinnick CCSD 131,ELEMENTARY,,,,
041011310042003,School,Stone Creek School,Kinnikinnick CCSD 131,ELEMENTARY,58.5,96.0,58.3,95.0
041011330042001,School,Prairie Hill Elem School,Prairie Hill CCSD 133,ELEMENTARY,56.4,79.0,55.4,77.0
041011340042001,School,Shirland C C School,Shirland CCSD 134,ELEMENTARY,43.4,33.0,53.9,41.0
041011400042001,School,Rockton Elem School,Rockton SD 140,ELEMENTARY,,,,
041011400042002,School,Whitman Post Elem School,Rockton SD 140,ELEMENTARY,48.8,228.0,56.0,261.0
041012050252014,School,Barbour Two-Way Lang Immersion,Rockford SD 205,ELEMENTARY,8.0,39.0,7.6,37.0
041012050252016,School,Beyer Elem School,Rockford SD 205,ELEMENTARY,0.0,0.0,0.0,0.0
041012050252017,School,C Henry Bloom Elem School,Rockford SD 205,ELEMENTARY,13.1,24.0,9.3,17.0
041012050252018,School,Brookview Elem School,Rockford SD 205,ELEMENTARY,27.7,82.0,32.5,96.0
041012050252019,School,Clifford P Carlson Elem School,Rockford SD 205,ELEMENTARY,17.5,34.0,20.6,40.0
041012050252022,School,Conklin Elem School,Rockford SD 205,ELEMENTARY,11.6,17.0,6.8,10.0
041012050252024,School,Ellis Elementary School,Rockford SD 205,ELEMENTARY,3.1,6.0,1.0,2.0
041012050252027,School,Arthur Froberg Elem School,Rockford SD 205,ELEMENTARY,33.5,74.0,20.0,44.0
041012050252029,School,Gregory Elem School,Rockford SD 205,ELEMENTARY,19.9,29.0,10.3,15.0
041012050252034,School,Haskell Elementary School,Rockford SD 205,ELEMENTARY,7.5,11.0,1.4,2.0
041012050252037,School,Swan Hillman Elem School,Rockford SD 205,ELEMENTARY,10.5,32.0,11.8,36.0
041012050252039,School,Maud E Johnson Elem School,Rockford SD 205,ELEMENTARY,20.4,51.0,10.4,26.0
041012050252040,School,Constance Lane Elementary School,Rockford SD 205,ELEMENTARY,6.9,10.0,1.4,2.0
041012050252041,School,Julia Lathrop Elem School,Rockford SD 205,ELEMENTARY,10.0,22.0,14.1,31.0
041012050252043,School,McIntosh Elementary,Rockford SD 205,ELEMENTARY,2.4,4.0,2.9,5.0
041012050252047,School,John Nelson Elem School,Rockford SD 205,ELEMENTARY,6.0,12.0,10.1,20.0
041012050252051,School,Riverdahl Elem School,Rockford SD 205,ELEMENTARY,9.7,33.0,6.2,21.0
041012050252054,School,Rolling Green,Rockford SD 205,ELEMENTARY,17.7,39.0,14.5,32.0
041012050252056,School,Spring Creek Elem School,Rockford SD 205,ELEMENTARY,30.4,76.0,32.4,81.0
041012050252063,School,R K Welsh Elem School,Rockford SD 205,ELEMENTARY,7.1,20.0,2.5,7.0
041012050252064,School,West View Elem School,Rockford SD 205,ELEMENTARY,16.1,43.0,18.0,48.0
041012050252066,School,Whitehead Elem School,Rockford SD 205,ELEMENTARY,14.6,40.0,11.0,30.0
041012050252067,School,Cherry Valley Elementary School,Rockford SD 205,ELEMENTARY,22.4,70.0,18.6,58.0
041012050252078,School,Thurgood Marshall Elementary,Rockford SD 205,ELEMENTARY,79.4,166.0,88.0,184.0
041012050252080,School,Washington Elementary School,Rockford SD 205,ELEMENTARY,9.7,22.0,4.0,9.0
